prototype,name,n_descriptors,descriptors
63,"Comedy, comedy, hilarious",3,genres=Comedy(score=1.000); tags=comedy(score=0.500); tags=hilarious(score=0.350)
64,"Action, action, big budget",3,genres=Action(score=1.000); tags=action(score=0.950); tags=big budget(score=0.750)
65,"Drama, mentor, Thriller",3,genres=Drama(score=0.650); tags=mentor(score=0.350); genres=Thriller(score=0.300)
66,"Adventure, Action, Western",3,genres=Adventure(score=0.300); genres=Action(score=0.250); genres=Western(score=0.200)
67,"original, Comedy, Drama",3,tags=original(score=0.850); genres=Comedy(score=0.600); genres=Drama(score=0.550)
68,"Comedy, comedy, funny",3,genres=Comedy(score=0.450); tags=comedy(score=0.400); tags=funny(score=0.350)
69,"Drama, Comedy, music",3,genres=Drama(score=0.550); genres=Comedy(score=0.250); tags=music(score=0.150)
70,"Comedy, comedy, funny",3,genres=Comedy(score=0.800); tags=comedy(score=0.750); tags=funny(score=0.450)
71,"Drama, Comedy, family",3,genres=Drama(score=0.550); genres=Comedy(score=0.500); tags=family(score=0.400)
72,"Horror, Sci-Fi, Action",3,genres=Horror(score=0.550); genres=Sci-Fi(score=0.500); genres=Action(score=0.400)
73,"Children's, disney, cartoon",3,genres=Children's(score=0.900); tags=disney(score=0.600); tags=cartoon(score=0.500)
74,"Drama, Comedy, Thriller",3,genres=Drama(score=0.450); genres=Comedy(score=0.350); genres=Thriller(score=0.300)
75,"Comedy, Drama, original",3,genres=Comedy(score=0.950); genres=Drama(score=0.450); tags=original(score=0.350)
76,"Action, Sci-Fi, action",3,genres=Action(score=0.850); genres=Sci-Fi(score=0.700); tags=action(score=0.600)
77,"Drama, criterion, talky",3,genres=Drama(score=0.550); tags=criterion(score=0.550); tags=talky(score=0.350)
78,"Drama, Romance, love story",3,genres=Drama(score=0.550); genres=Romance(score=0.550); tags=love story(score=0.500)
79,"Horror, creepy, cult classic",3,genres=Horror(score=0.700); tags=creepy(score=0.550); tags=cult classic(score=0.550)
80,"Children's, Adventure, family",3,genres=Children's(score=0.450); genres=Adventure(score=0.250); tags=family(score=0.250)
81,"Comedy, comedy, funny",3,genres=Comedy(score=0.900); tags=comedy(score=0.550); tags=funny(score=0.250)
82,"Drama, Western, oscar (best directing)",3,genres=Drama(score=0.350); genres=Western(score=0.250); tags=oscar (best directing)(score=0.250)
83,"Children's, Comedy, family",3,genres=Children's(score=0.500); genres=Comedy(score=0.450); tags=family(score=0.250)
84,"Drama, Comedy, music",3,genres=Drama(score=0.600); genres=Comedy(score=0.150); tags=music(score=0.150)
85,"Drama, beautifully filmed, great acting",3,genres=Drama(score=0.950); tags=beautifully filmed(score=0.600); tags=great acting(score=0.500)
86,"Drama, Romance, Comedy",3,genres=Drama(score=0.800); genres=Romance(score=0.450); genres=Comedy(score=0.400)
87,"Drama, Comedy, hitchcock",3,genres=Drama(score=0.450); genres=Comedy(score=0.300); tags=hitchcock(score=0.250)
88,"Comedy, Romance, feel-good",3,genres=Comedy(score=1.000); genres=Romance(score=0.600); tags=feel-good(score=0.600)
89,"Drama, criterion, masterpiece",3,genres=Drama(score=0.700); tags=criterion(score=0.600); tags=masterpiece(score=0.500)
90,"Drama, Romance, beautifully filmed",3,genres=Drama(score=0.850); genres=Romance(score=0.400); tags=beautifully filmed(score=0.350)
91,"Drama, loneliness, melancholic",3,genres=Drama(score=0.900); tags=loneliness(score=0.250); tags=melancholic(score=0.250)
92,"Drama, Comedy, Romance",3,genres=Drama(score=0.700); genres=Comedy(score=0.450); genres=Romance(score=0.400)
93,"Drama, Comedy, literary adaptation",3,genres=Drama(score=0.650); genres=Comedy(score=0.150); tags=literary adaptation(score=0.150)
94,"Comedy, comedy, funny",3,genres=Comedy(score=1.000); tags=comedy(score=0.900); tags=funny(score=0.600)
95,"Sci-Fi, science fiction, special effects",3,genres=Sci-Fi(score=0.600); tags=science fiction(score=0.550); tags=special effects(score=0.500)
96,"Horror, Comedy, Thriller",3,genres=Horror(score=0.550); genres=Comedy(score=0.500); genres=Thriller(score=0.450)
97,"Children's, Musical, family",3,genres=Children's(score=0.500); genres=Musical(score=0.300); tags=family(score=0.300)
98,"Drama, criterion, enigmatic",3,genres=Drama(score=0.600); tags=criterion(score=0.450); tags=enigmatic(score=0.250)
