feature,within_user_match,baseline_match,homogeneity_lift,popularity_eta2
product_code,0.040209568081275515,0.0011197375629079147,35.90981441834713,0.750593621292205
department_name,0.1719149216095327,0.03330936008197581,5.161159541535546,0.17959753108043214
section_name,0.28186125565162423,0.08462337512744483,3.3307730308219736,0.14308740752418822
product_type_name,0.1940220174265785,0.06861633669839184,2.8276359065832466,0.07547636942259595
garment_group_name,0.2675856423607054,0.09607048622037008,2.7853053824137772,0.05254891656739655
product_group_name,0.4368882438931465,0.30322528955013844,1.440804111495149,0.03774145554778608
index_group_name,0.6295760303561672,0.4642935095113214,1.3559871448963587,0.06478884435435753
perceived_colour_master_name,0.23897479794435864,0.17842552661362415,1.3393531883016512,0.02511948163064635
colour_group_name,0.20710646244952902,0.1562989556356536,1.32506619514664,0.029231186581408566
perceived_colour_value_name,0.3556035214098,0.3064261936634708,1.1604866971664234,0.01053560672790855
graphical_appearance_name,0.4736285388595959,0.4177491814107896,1.133762937033401,0.019807175037617322
