prototype,name,n_descriptors,descriptors
56,"War, Animation, Musical",3,genres=War(score=3.472); genres=Animation(score=3.064); genres=Musical(score=2.948)
57,"Animation, Musical, Children's",3,genres=Animation(score=9.191); genres=Musical(score=8.844); genres=Children's(score=4.674)
58,"War, Thriller, Action",3,genres=War(score=4.630); genres=Thriller(score=3.924); genres=Action(score=3.786)
59,"War, Action, Adventure",3,genres=War(score=8.102); genres=Action(score=4.474); genres=Adventure(score=3.028)
60,"War, Action, Crime",3,genres=War(score=5.787); genres=Action(score=5.507); genres=Crime(score=3.511)
61,"Crime, Sci-Fi, Comedy",3,genres=Crime(score=2.633); genres=Sci-Fi(score=1.868); genres=Comedy(score=1.552)
62,"Animation, War, Musical",3,genres=Animation(score=6.127); genres=War(score=5.787); genres=Musical(score=2.948)
63,"Film-Noir, Crime, Comedy",3,genres=Film-Noir(score=8.013); genres=Crime(score=3.511); genres=Comedy(score=1.707)
64,"Sci-Fi, Romance, Crime",3,genres=Sci-Fi(score=3.113); genres=Romance(score=2.254); genres=Crime(score=1.756)
65,"Animation, Adventure, War",3,genres=Animation(score=6.127); genres=Adventure(score=4.239); genres=War(score=3.472)
66,"Romance, Musical, Comedy",3,genres=Romance(score=3.380); genres=Musical(score=2.948); genres=Comedy(score=2.793)
67,"Sci-Fi, Adventure, War",3,genres=Sci-Fi(score=6.848); genres=Adventure(score=5.451); genres=War(score=4.630)
68,"Fantasy, Sci-Fi, Comedy",3,genres=Fantasy(score=4.808); genres=Sci-Fi(score=1.868); genres=Comedy(score=1.707)
69,"Horror, Crime, Thriller",3,genres=Horror(score=4.699); genres=Crime(score=3.511); genres=Thriller(score=1.427)
70,"Thriller, Horror, Romance",3,genres=Thriller(score=3.211); genres=Horror(score=1.175); genres=Romance(score=1.127)
71,"Film-Noir, Western, Mystery",3,genres=Film-Noir(score=8.013); genres=Western(score=7.812); genres=Mystery(score=4.883)
72,"Film-Noir, Western, Mystery",3,genres=Film-Noir(score=28.045); genres=Western(score=10.417); genres=Mystery(score=6.510)
73,"Musical, Animation, Children's",3,genres=Musical(score=10.318); genres=Animation(score=9.191); genres=Children's(score=4.674)
74,"Western, Thriller, Action",3,genres=Western(score=5.208); genres=Thriller(score=3.924); genres=Action(score=3.786)
75,"Sci-Fi, Western, Adventure",3,genres=Sci-Fi(score=6.848); genres=Western(score=5.208); genres=Adventure(score=3.634)
