prototype,name,n_descriptors,descriptors
64,"Musical, classic, Children's",3,genres=Musical(score=0.700); tags=classic(score=0.650); genres=Children's(score=0.550)
65,"imdb top 250, original, great ending",3,tags=imdb top 250(score=0.900); tags=original(score=0.800); tags=great ending(score=0.750)
66,"original, Comedy, Drama",3,tags=original(score=0.950); genres=Comedy(score=0.750); genres=Drama(score=0.550)
67,"original, imdb top 250, classic",3,tags=original(score=0.900); tags=imdb top 250(score=0.800); tags=classic(score=0.750)
68,"great acting, Drama, good",3,tags=great acting(score=0.750); genres=Drama(score=0.700); tags=good(score=0.650)
69,"great acting, Drama, good",3,tags=great acting(score=0.700); genres=Drama(score=0.650); tags=good(score=0.650)
70,"great acting, Drama, good",3,tags=great acting(score=0.700); genres=Drama(score=0.650); tags=good(score=0.650)
71,"great acting, Drama, excellent script",3,tags=great acting(score=0.750); genres=Drama(score=0.700); tags=excellent script(score=0.600)
72,"imdb top 250, classic, oscar (best directing)",3,tags=imdb top 250(score=1.000); tags=classic(score=0.850); tags=oscar (best directing)(score=0.750)
73,"Comedy, comedy, funny",3,genres=Comedy(score=1.000); tags=comedy(score=0.700); tags=funny(score=0.400)
74,"imdb top 250, classic, talky",3,tags=imdb top 250(score=1.000); tags=classic(score=0.850); tags=talky(score=0.800)
75,"imdb top 250, classic, oscar (best directing)",3,tags=imdb top 250(score=1.000); tags=classic(score=0.850); tags=oscar (best directing)(score=0.750)
