prototype,name,n_descriptors,descriptors
45,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
46,"Suit, H&M+, Dressed",3,department_name=Suit(score=25.920); section_name=H&M+(score=13.054); garment_group_name=Dressed(score=11.439)
47,"Woven bottoms, Mama, Leggings/Tights",3,department_name=Woven bottoms(score=20.683); section_name=Mama(score=19.317); product_type_name=Leggings/Tights(score=10.921)
48,"Suit, H&M+, Dressed",3,department_name=Suit(score=25.920); section_name=H&M+(score=13.054); garment_group_name=Dressed(score=11.439)
49,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=36.804)
50,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
51,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
52,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=36.804)
53,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
54,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
55,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=36.804)
56,"Socks, Socks Wall, Light Basic Jersey",3,department_name=Socks(score=21.110); department_name=Socks Wall(score=20.375); department_name=Light Basic Jersey(score=14.522)
57,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=40.150)
58,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
59,"Woven bottoms, Mama, Leggings/Tights",3,department_name=Woven bottoms(score=20.683); section_name=Mama(score=19.317); product_type_name=Leggings/Tights(score=10.921)
60,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
61,"Woven bottoms, Mama, Leggings/Tights",3,department_name=Woven bottoms(score=20.683); section_name=Mama(score=19.317); product_type_name=Leggings/Tights(score=10.921)
62,"Woven bottoms, Mama, Leggings/Tights",3,department_name=Woven bottoms(score=20.683); section_name=Mama(score=19.317); product_type_name=Leggings/Tights(score=10.921)
63,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
64,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
65,"Woven bottoms, Mama, Leggings/Tights",3,department_name=Woven bottoms(score=20.683); section_name=Mama(score=19.317); product_type_name=Leggings/Tights(score=10.921)
66,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
67,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
68,"Suit, H&M+, Dressed",3,department_name=Suit(score=25.920); section_name=H&M+(score=13.054); garment_group_name=Dressed(score=11.439)
69,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
70,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
71,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=36.804)
72,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
73,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=36.804)
74,"Woven bottoms, Mama, Leggings/Tights",3,department_name=Woven bottoms(score=20.683); section_name=Mama(score=19.317); product_type_name=Leggings/Tights(score=10.921)
75,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
