prototype,name,n_descriptors,descriptors
62,"Comedy, Romance, chick flick",3,genres=Comedy(score=0.750); genres=Romance(score=0.750); tags=chick flick(score=0.750)
63,"Comedy, Romance, chick flick",3,genres=Comedy(score=0.750); genres=Romance(score=0.750); tags=chick flick(score=0.750)
64,"great acting, imdb top 250, excellent script",3,tags=great acting(score=1.000); tags=imdb top 250(score=1.000); tags=excellent script(score=0.950)
65,"Comedy, Romance, chick flick",3,genres=Comedy(score=0.750); genres=Romance(score=0.750); tags=chick flick(score=0.750)
66,"Action, Sci-Fi, action",3,genres=Action(score=1.000); genres=Sci-Fi(score=0.850); tags=action(score=0.850)
67,"Action, Sci-Fi, action",3,genres=Action(score=1.000); genres=Sci-Fi(score=0.900); tags=action(score=0.850)
68,"Comedy, Romance, chick flick",3,genres=Comedy(score=0.750); genres=Romance(score=0.750); tags=chick flick(score=0.750)
69,"Romance, chick flick, girlie movie",3,genres=Romance(score=0.800); tags=chick flick(score=0.800); tags=girlie movie(score=0.800)
70,"Comedy, Romance, chick flick",3,genres=Comedy(score=0.750); genres=Romance(score=0.750); tags=chick flick(score=0.750)
71,"Comedy, Romance, chick flick",3,genres=Comedy(score=0.750); genres=Romance(score=0.750); tags=chick flick(score=0.750)
72,"great acting, excellent script, imdb top 250",3,tags=great acting(score=1.000); tags=excellent script(score=0.950); tags=imdb top 250(score=0.950)
73,"Comedy, Romance, chick flick",3,genres=Comedy(score=0.750); genres=Romance(score=0.750); tags=chick flick(score=0.750)
74,"great acting, imdb top 250, excellent script",3,tags=great acting(score=1.000); tags=imdb top 250(score=1.000); tags=excellent script(score=0.950)
75,"classic, imdb top 250, oscar (best directing)",3,tags=classic(score=0.950); tags=imdb top 250(score=0.950); tags=oscar (best directing)(score=0.750)
