prototype,name,n_descriptors,descriptors
60,"Sci-Fi, Horror, Action",3,genres=Sci-Fi(score=9.338); genres=Horror(score=5.287); genres=Action(score=4.130)
61,"Drama, Romance, Comedy",3,genres=Drama(score=1.516); genres=Romance(score=1.502); genres=Comedy(score=1.086)
62,"Animation, Sci-Fi, Horror",3,genres=Animation(score=4.596); genres=Sci-Fi(score=4.358); genres=Horror(score=3.524)
63,"Comedy, Drama",2,genres=Comedy(score=1.396); genres=Drama(score=1.263)
64,"Film-Noir, Musical, War",3,genres=Film-Noir(score=16.026); genres=Musical(score=2.948); genres=War(score=2.315)
65,"Animation, Comedy, Children's",3,genres=Animation(score=13.787); genres=Comedy(score=2.948); genres=Children's(score=2.671)
66,"Adventure, Action, Western",3,genres=Adventure(score=6.056); genres=Action(score=5.507); genres=Western(score=5.208)
67,"Sci-Fi, Horror, Crime",3,genres=Sci-Fi(score=4.358); genres=Horror(score=4.112); genres=Crime(score=3.511)
68,"Animation, Fantasy, Children's",3,genres=Animation(score=15.319); genres=Fantasy(score=14.423); genres=Children's(score=10.684)
69,"Crime, Drama, Thriller",3,genres=Crime(score=6.145); genres=Drama(score=1.895); genres=Thriller(score=1.070)
70,"Drama, Romance, Thriller",3,genres=Drama(score=1.642); genres=Romance(score=1.502); genres=Thriller(score=1.070)
71,"Horror, Sci-Fi, Thriller",3,genres=Horror(score=5.874); genres=Sci-Fi(score=4.980); genres=Thriller(score=3.567)
72,"Sci-Fi, Horror, Action",3,genres=Sci-Fi(score=7.470); genres=Horror(score=5.874); genres=Action(score=3.786)
73,"Musical, Romance, Children's",3,genres=Musical(score=8.844); genres=Romance(score=4.132); genres=Children's(score=1.335)
74,"Thriller, Action, Mystery",3,genres=Thriller(score=4.994); genres=Action(score=4.130); genres=Mystery(score=3.255)
75,"Comedy, Drama, Romance",3,genres=Comedy(score=1.707); genres=Drama(score=1.389); genres=Romance(score=1.127)
