item_id,item,item weight,prototype
7541,A1LWJQS2RLES1A,1.992724,12
7677,A3B5ITYRN84C4H,1.9884491,12
10280,A39U8I1YS5ZCP8,1.99982,13
4717,A215WH6RUDUCMP,1.999305,13
8529,A33PLZ7SD5MCG0,1.9990816,13
4710,AVFJ327UXPXLF,1.998692,13
6270,AH5DLR1IFWRBG,1.997761,13
5494,AE62TIY3899YL,1.996912,13
4621,A20L63B48RPSOH,1.9953587,13
5050,AHN86VFJIJ2JP,1.9939321,13
5399,A376OJHLE6SU9Q,1.9933611,13
1952,A2H2FT8WV5X6SV,1.9839821,13
3619,A2U4HUOAYQWXW8,1.9998115,14
5628,A389C8VOQ4KT2T,1.9991685,14
401,A2WM45XB3302MU,1.9985709,14
12747,A3LUQQKO9BFT4B,1.9981642,14
633,A25T4LT9P4HLFP,1.997688,14
2961,A3BEF4IHWI0VC,1.9957553,14
204,A3P3U42S4A2YHQ,1.9939797,14
2680,A4CNLZGR3NM23,1.9895891,14
313,A3QEJ40NQEW36Q,1.9876796,14
3655,A2LGKIBQB0K1KC,1.9873585,14
10827,A2TLDKIAETB0R4,1.9996393,15
6607,A2SV4S183RNRRX,1.9992518,15
5654,A1D9V11QUHXENQ,1.9981054,15
6490,A3GDX8JY3J921V,1.9973006,15
8239,A3PLEWCV2LL4HP,1.997032,15
7028,A3N9KUZ1FSD4CK,1.9956088,15
5602,A3BO9FLATQULV5,1.9940937,15
834,A3LGT6UZL99IW1,1.9938405,15
6493,A35NSF98TDAHHG,1.9910144,15
6666,A1XMY7BAK2RBIO,1.9863586,15
9781,A30Z7ZB5A7KJMD,1.9996815,16
12332,A11V3GPODBXN7C,1.9994619,16
10540,A3TIPANWPZLGDJ,1.9981003,16
7777,AURRI9Z1AYQUQ,1.9975562,16
9303,A1A2JA2ZQ2M48,1.9962847,16
12311,A2FXBWR4T4OFQ,1.9958388,16
8063,A1PO3Z7FXA4Q2E,1.9931122,16
13157,A3BEL7EEXD04NN,1.9898481,16
7362,A2Y71IYJXA9OAV,1.9878662,16
6368,A256SIW5MV0DN4,1.9857652,16
245,A36JKJY7BMLPMC,1.9997449,17
394,A1SSL3RR30E0XE,1.9997448,17
790,A1LX3LD2LEKKY9,1.9997165,17
422,A1UWQ3ANXI3EZU,1.9994392,17
499,AA9AU6WVAF78V,1.9992297,17
351,A35W4E33M8GDC4,1.9990864,17
382,AJX0Q5B0QEP57,1.9974446,17
146,A3AMT70CSW12AD,1.9970862,17
866,AAQMWWN5UDJM5,1.9952712,17
85,A2K41UD90E56FP,1.9949912,17
2045,A20DZX38KRBIT8,1.999092,18
3945,A1CCT0CWK40OL9,1.9930999,18
1725,A30IP3E4MDQ36,1.9906262,18
2752,A2U80IPZXN5V1U,1.9873663,18
4155,A39BVLJQQ3110V,1.9752026,18
4848,AASMRQB775ETT,1.9567195,18
2888,A1F1S3QZL8PR85,1.9533663,18
3604,ATUPZN6SZRZG2,1.9489243,18
3235,AV119IJ0YXS48,1.9037743,18
4241,ARBLZC3NMZMQU,1.9029372,18
138,A29BQ6B90Y1R5F,1.9993184,19
7592,A3AWKLG8L6U4EB,1.9306715,19
4637,AAHIBEYQEUO4B,1.9300742,19
4724,A1LUN362VF8BCM,1.9298857,19
2718,A150925BGGPO6U,1.9097958,19
3990,A2DDRD1JAGF5Z3,1.90171,19
1631,A18QA3A3UYWFU9,1.8949571,19
8815,ALTXXT7PBI2EX,1.8909149,19
