prototype,name,n_descriptors,descriptors
40,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
41,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
42,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
43,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
44,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
45,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
46,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
47,"Ladieswear, Womens Everyday Collection, Garment Upper body",3,index_group_name=Ladieswear(score=1.000); section_name=Womens Everyday Collection(score=0.950); product_group_name=Garment Upper body(score=0.900)
48,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=1.000); graphical_appearance_name=Solid(score=0.900); section_name=Womens Tailoring(score=0.850)
49,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
50,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
51,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=1.000); graphical_appearance_name=Solid(score=0.850); section_name=Womens Tailoring(score=0.850)
52,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=1.000); graphical_appearance_name=Solid(score=0.850); section_name=Womens Tailoring(score=0.850)
53,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
54,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
55,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
56,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
57,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
