prototype,name,n_descriptors,descriptors
66,"Divided Projects, Suit jacket, Womens Trend",3,section_name=Divided Projects(score=0.995); department_name=Suit jacket(score=0.990); section_name=Womens Trend(score=0.965)
67,"Silver, Embroidery, Placement print",3,colour_group_name=Silver(score=0.969); graphical_appearance_name=Embroidery(score=0.969); graphical_appearance_name=Placement print(score=0.949)
68,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
69,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
70,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
71,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
72,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
73,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
74,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
75,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
