timestamp,gpu_util_pct,vram_used_mib,vram_total_mib,vram_pct,cpu_pct,ram_used_mib,ram_total_mib,ram_pct,gpu_temp_c
2026-06-08 15:41:16,0.0,4,24576,0.0,0.0,543,257046,0.2,36
2026-06-08 15:41:40,0.0,4,24576,0.0,1513.9,13727,257046,5.3,36
2026-06-08 15:41:50,0.0,4,24576,0.0,105.7,14536,257046,5.7,36
2026-06-08 15:42:01,2.0,611,24576,2.5,316.6,18070,257046,7.0,36
2026-06-08 15:42:11,2.0,1188,24576,4.8,464.5,20220,257046,7.9,36
2026-06-08 15:42:21,8.0,1632,24576,6.6,212.0,23784,257046,9.3,36
2026-06-08 15:42:31,12.0,1674,24576,6.8,195.3,23392,257046,9.1,36
2026-06-08 15:42:41,24.0,1808,24576,7.4,437.7,24923,257046,9.7,36
2026-06-08 15:42:51,20.0,1808,24576,7.4,616.9,24924,257046,9.7,37
2026-06-08 15:43:01,24.0,1808,24576,7.4,621.4,24924,257046,9.7,37
2026-06-08 15:43:11,22.0,1808,24576,7.4,622.2,24924,257046,9.7,37
2026-06-08 15:43:21,20.0,1808,24576,7.4,618.2,24926,257046,9.7,37
2026-06-08 15:43:31,23.0,1808,24576,7.4,619.3,24926,257046,9.7,37
2026-06-08 15:43:41,23.0,1808,24576,7.4,620.9,24926,257046,9.7,37
2026-06-08 15:43:52,21.0,1808,24576,7.4,617.1,24926,257046,9.7,37
2026-06-08 15:44:02,21.0,1808,24576,7.4,620.4,24929,257046,9.7,37
2026-06-08 15:44:12,24.0,1808,24576,7.4,619.9,24928,257046,9.7,37
2026-06-08 15:44:22,21.0,1810,24576,7.4,-466.8,25052,257046,9.7,37
2026-06-08 15:44:32,16.0,1812,24576,7.4,-1818.6,25305,257046,9.8,37
2026-06-08 15:44:42,6.0,1812,24576,7.4,-2275.0,25601,257046,10.0,37
2026-06-08 15:44:52,6.0,1812,24576,7.4,631.0,25600,257046,10.0,37
2026-06-08 15:45:02,22.0,1812,24576,7.4,-195.0,25701,257046,10.0,37
2026-06-08 15:45:12,25.0,1812,24576,7.4,644.8,25702,257046,10.0,37
2026-06-08 15:45:22,24.0,1812,24576,7.4,646.0,25702,257046,10.0,37
2026-06-08 15:45:33,26.0,1812,24576,7.4,649.0,25701,257046,10.0,37
2026-06-08 15:45:43,24.0,1812,24576,7.4,645.7,25700,257046,10.0,37
2026-06-08 15:45:53,24.0,1812,24576,7.4,646.3,25699,257046,10.0,37
2026-06-08 15:46:03,21.0,1812,24576,7.4,647.6,25699,257046,10.0,37
2026-06-08 15:46:13,23.0,1812,24576,7.4,645.8,25699,257046,10.0,37
2026-06-08 15:46:23,24.0,1812,24576,7.4,648.1,25698,257046,10.0,37
2026-06-08 15:46:33,21.0,1812,24576,7.4,645.3,25698,257046,10.0,37
2026-06-08 15:46:43,17.0,1812,24576,7.4,-573.5,25685,257046,10.0,37
2026-06-08 15:46:53,22.0,1812,24576,7.4,651.8,25685,257046,10.0,37
2026-06-08 15:47:03,19.0,1812,24576,7.4,-813.7,25672,257046,10.0,37
2026-06-08 15:47:14,16.0,1812,24576,7.4,644.4,25672,257046,10.0,37
2026-06-08 15:47:24,14.0,1812,24576,7.4,-2429.1,25670,257046,10.0,37
2026-06-08 15:47:34,15.0,1812,24576,7.4,631.5,25669,257046,10.0,37
2026-06-08 15:47:44,20.0,1812,24576,7.4,-1371.2,25688,257046,10.0,37
2026-06-08 15:47:54,20.0,1812,24576,7.4,643.7,25688,257046,10.0,37
2026-06-08 15:48:04,22.0,1812,24576,7.4,433.8,25698,257046,10.0,37
2026-06-08 15:48:14,23.0,1812,24576,7.4,646.4,25698,257046,10.0,37
2026-06-08 15:48:24,22.0,1812,24576,7.4,646.5,25698,257046,10.0,37
2026-06-08 15:48:34,25.0,1812,24576,7.4,647.7,25698,257046,10.0,37
2026-06-08 15:48:44,23.0,1812,24576,7.4,648.3,25699,257046,10.0,37
